no,school_code,school_name_th,school_name_en,province,district,subdistrict,address,official_website,website_source,opec_website,facebook,telephone,mobile,email,latitude,longitude,opec_profile_url,levels_offered,level_range,student_count,teacher_count,curriculums,licensee_name,director_name,manager_name,government_support,school_history,vision,mission,maxim,uniqueness,identity,tags,school_logo_url,line_id,instagram,tiktok,youtube
1,1110700001,นานาชาติเซนต์ แอนดรูว์ส สาทร,ST. ANDREWS INTERNATIONAL SCHOOL SATHORN,กรุงเทพมหานคร,บางรัก,สีลม,9 ซอย ซอยสาทร 4 ถนน คอนแวนต์ แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,https://www.standrewssathorn.com,Live Domain Match & Verification,,,,,,13.7255207,100.53556709999998,https://school.opec.go.th/school/1110700001,"['อนุบาล', 'ประถมศึกษา']",อนุบาล - ประถมศึกษา,375,24,['สหราชอาณาจักร'],นายโสพัส พัฒนวีรมงคล,นางสาววิมลรัตน์ นุกูลโรจน์,นายโสพัส พัฒนวีรมงคล,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1300,,,,
2,1110700002,นานาชาติเกาหลี กรุงเทพ,KOREAN INTERNATIONAL SCHOOL OF BANGKOK,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,14/107 หมู่ 4 ซอย รามอินทรา 13 ถนน รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,http://www.kisbangkok.co.kr,Live Domain Match & Verification,,,025436981,,,13.868015708570184,100.61177349461369,https://school.opec.go.th/school/1110700002,"['ประถมศึกษา', 'มัธยมศึกษาตอนต้น', 'มัธยมศึกษาตอนปลาย']",ประถมศึกษา - มัธยมศึกษาตอนปลาย,135,21,['หลักสูตรประจำชาติของประเทศสาธารณรัฐเกาหลี (MOE Republic of Korea)'],นายประเชิญ  กุลฐิติกิจ,นายประเชิญ  กุลฐิติกิจ,นางสุวรรณา เนตยากร,ไม่รับเงินอุดหนุน,โรงเรียนนานาชาติของเกาหลีในหนองจอก กรุงเทพมหานคร ประเทศไทย โรงเรียนให้บริการถึงระดับมัธยมศึกษาตอนปลาย ก่อตั้งขึ้นในปี 2544,วิสัยทัศน์ วิสัยทัศน์ วิสัยทัศน์ วิสัยทัศน์,พันธกิจ พันธกิจ พันธกิจ พันธกิจ,คติพจน์ คติพจน์ คติพจน์ คติพจน์,เอกลักษณ์  เอกลักษณ์  เอกลักษณ์  เอกลักษณ์,อัตลักษณ์ อัตลักษณ์ อัตลักษณ์ อัตลักษณ์,"นานาชาติ,เกาหลี,กรุงเทพ,ทดสอบ",https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1301,,,,
3,1110700003,อนุบาลไอ พี ซี อินเตอร์เนชั่นแนล,IPC INTERNATIONAL KINDERGARTEN,กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,313 ซอย สุขุมวิท31 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,https://www.ipcgreen.com,Live Domain Match & Verification,,,,,,13.7422613,100.56051589999993,https://school.opec.go.th/school/1110700003,['อนุบาล'],อนุบาล - อนุบาล,0,3,['สหราชอาณาจักร หลักสูตร IB'],นางปนัดดา หงสกุล,ว่าที่เรือตรีระพี  แก้วมีแสง,นางแมรี่แอน จิราธิวัฒน์,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1309,,,,
4,1110700004,อนุบาลนานาชาติคิดส์ อะคาเดมี่,KIDS' ACADEMY INTERNATIONAL PRE-SCHOOL,กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ,52/1-2  ซอย 2 ถนน สุขุมวิท 63 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,https://www.kidsacademy.ac.th,Live Domain Match & Verification,,,,,,13.778735,100.67321800000002,https://school.opec.go.th/school/1110700004,['อนุบาล'],อนุบาล - อนุบาล,56,14,['หลักสูตรประจำชาติของประเทศสหราชอาณาจักร'],,,,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1310,,,,
5,1110700006,นานาชาติฮีทฟิลด์,HEATHFIELD INTERNATIONAL SCHOOL,กรุงเทพมหานคร,สะพานสูง,ราษฎร์พัฒนา,6 ถนน รามคำแหง แขวงราษฎร์พัฒนา เขตสะพานสูง กรุงเทพมหานคร 10240,https://heathfield.ac.th,OPEC Profile,https://www.heathfield.ac.th,,023722680,,,13.7833908,100.6860846,https://school.opec.go.th/school/1110700006,"['อนุบาล', 'ประถมศึกษา', 'มัธยมศึกษาตอนต้น', 'มัธยมศึกษาตอนปลาย']",อนุบาล - มัธยมศึกษาตอนปลาย,329,28,"['A National curriculum British Curriculum (Early Years Foundation Stage)', 'หลักสูตรแห่งชาติประเทศสหราชอาณาจักร']",นางเอมอร  พิบูลธรรม,นางปราณี หนูขาว,นางอาทิตยา  เนียมประดิษฐ์,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1312,,,,
6,1110700007,นานาชาติแองโกลสิงคโปร์,ANGLO SINGAPOREAN INTERNATIONAL SCHOOL,กรุงเทพมหานคร,พระโขนง,บางจาก,1 ถนน สุขุมวิท 64 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,https://www.anglosingapore.ac.th,Live Domain Match & Verification,,,,,,13.6874875,100.6092236,https://school.opec.go.th/school/1110700007,"['ก่อนอนุบาล', 'อนุบาล', 'ประถมศึกษา', 'มัธยมศึกษาตอนต้น', 'มัธยมศึกษาตอนปลาย']",ก่อนอนุบาล - มัธยมศึกษาตอนปลาย,574,93,"['หลักสูตรสิงคโปร์', 'หลักสูตรสาธารณรัฐสิงคโปร์']",,นางสาวลภัสรดา ยวดยิ่ง,นางสาวลภัสรดา ยวดยิ่ง,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1331,,,,
7,1110700008,นานาชาติแพน-เอเซีย,PAN-ASIA INTERNATIONAL SCHOOL,กรุงเทพมหานคร,ประเวศ,ดอกไม้,18 ซอย 67 ถนน เฉลิมพระเกียรติ ร.9 แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,https://www.pais.ac.th,OPEC Profile,https://www.pais.ac.th,,,,,13.703406,100.68665,https://school.opec.go.th/school/1110700008,"['ก่อนอนุบาล', 'อนุบาล', 'ประถมศึกษา', 'มัธยมศึกษาตอนต้น', 'มัธยมศึกษาตอนปลาย']",ก่อนอนุบาล - มัธยมศึกษาตอนปลาย,314,96,"['หลักสูตรของรัฐแมสซาชูเซตส์', 'Massachusetts Curriculum Frameworks', 'IB / International Baccalaureate Programme']",นางวนิดา  ฮามัด,นายฮุสนี  ฮามัด,นายอิซอม ตาวีเลาะ,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1368,,,,
8,1110700009,นานาชาติบริติชโคลัมเบีย กรุงเทพ,ฺBritish Columbia International School Bangkok,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,606 ถนน กัลปพฤกษ์ แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,https://www.bcisb.ac.th,Live Domain Match & Verification,,,,,,13.694035,100.435435,https://school.opec.go.th/school/1110700009,"['ก่อนอนุบาล', 'อนุบาล', 'ประถมศึกษา', 'มัธยมศึกษาตอนต้น', 'มัธยมศึกษาตอนปลาย']",ก่อนอนุบาล - มัธยมศึกษาตอนปลาย,599,27,"['หลักสูตรกระทรวงศึกษาธิการบริติชโคลัมเบีย ประเทศแคนาดา', 'British Columbia Curriculum', 'British Columbia Early Learning Program', 'หลักสูตรของกระทรวงศึกษาธิการบริติชโคลัมเบีย']",นายภักดี ฐานปัญญา,นางสาววิสรทิพย์  วิสาวะโท,ดร.มาลี  ฐานปัญญา,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1445,,,,
9,1110700010,นานาชาติเวลล์ส-อ่อนนุช,WELLS INTERNATIONAL SCHOOL - ON NUT,กรุงเทพมหานคร,พระโขนง,บางจาก,2209 ถนน สุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,https://wells.ac.th,Live Domain Match & Verification,,,,,,13.7039165,100.6057442,https://school.opec.go.th/school/1110700010,"['ประถมศึกษา', 'มัธยมศึกษาตอนต้น', 'มัธยมศึกษาตอนปลาย']",ประถมศึกษา - มัธยมศึกษาตอนปลาย,396,69,['California Department of Education'],นางสาวกนกพร ชัยนิคม,Miss Weeranuch  Jarawat,Mr. Yao - Lang  Chang,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1452,,,,
10,1110700011,นานาชาติเซนต์แอนดรูว์ส ดุสิต,St.Andrews International School Dusit,กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,253/1 ถนน สวรรคโลก แขวงสวนจิตรลดา เขตดุสิต กรุงเทพมหานคร 10300,https://www.standrewsdusit.com,Live Domain Match & Verification,,,,,,13.7706317,100.5259159,https://school.opec.go.th/school/1110700011,"['อนุบาล', 'ประถมศึกษา']",อนุบาล - ประถมศึกษา,207,17,"['หลักสูตรสหราชอาณาจักร', 'UK National Curriculum']",,,นางสาวเสาวคนธ์ ลิมอักษณ,ไม่รับเงินอุดหนุน,,,,,,,,https://pedb.opec.go.th/web/SchoolPdc.htm?mode=showPicture&t=1&id=1689,,,,
